Dish_Name,Category,Food,Calorie,Price
Elysee,Breakfast,Non-Veg,816,941.0
Adena,Breakfast,Veg,680,925.75
Carolin,Dinner,Non-Veg,2196,489.52
Brynne,Breakfast,Veg,636,813.94
Avrit,Dinner,Veg,982,433.96
Aretha,Lunch,Non-Veg,1601,476.32
Lita,Lunch,Veg,2604,969.26
Janith,Lunch,Non-Veg,2070,458.2
Lynna,Breakfast,Non-Veg,2131,803.03
Carolann,Snacks,Veg,1607,587.43
Noni,Breakfast,Non-Veg,1994,607.37
Maris,Snacks,Non-Veg,1978,879.04
Teresita,Snacks,Non-Veg,2819,930.46
Joelynn,Snacks,Veg,1164,962.62
Bryana,Snacks,Veg,674,684.85
Ruperta,Lunch,Non-Veg,1769,952.08
Dana,Lunch,Veg,2114,885.45
Stephani,Lunch,Non-Veg,708,878.55
Mara,Dinner,Non-Veg,1148,824.76
Collie,Lunch,Veg,1125,796.93
Georgette,Dinner,Veg,778,364.48
Yetta,Breakfast,Veg,1450,720.1
Lu,Dinner,Non-Veg,772,949.34
Gnni,Lunch,Non-Veg,601,897.37
Karoline,Dinner,Veg,849,633.73
Corabel,Dinner,Veg,550,481.89
Leanora,Dinner,Veg,2534,954.12
Chanda,Dinner,Veg,1916,738.39
Elladine,Snacks,Non-Veg,1213,522.56
Pansie,Dinner,Non-Veg,593,795.1
Ofelia,Snacks,Veg,2984,514.81
Josephine,Breakfast,Non-Veg,740,968.57
Rhetta,Snacks,Non-Veg,2890,222.47
Tiffie,Dinner,Veg,712,715.49
Donia,Breakfast,Veg,1269,997.23
Helaina,Lunch,Non-Veg,1658,720.19
Clarissa,Snacks,Veg,1636,975.83
Hannis,Dinner,Veg,2448,346.08
Hanny,Dinner,Non-Veg,2688,696.96
Geneva,Breakfast,Non-Veg,1178,700.84
Rasla,Snacks,Non-Veg,2949,333.57
Maressa,Dinner,Non-Veg,1678,639.98
Mirabella,Lunch,Veg,1834,710.49
Almira,Dinner,Veg,2692,682.9
Cele,Dinner,Non-Veg,2963,487.17
Birgitta,Breakfast,Non-Veg,2152,857.43
Clio,Lunch,Veg,2458,875.02
Twila,Breakfast,Veg,1667,973.67
Sibella,Dinner,Non-Veg,2834,915.45
Anthiathia,Snacks,Non-Veg,1641,489.98
Jolee,Breakfast,Veg,657,445.49
Valry,Dinner,Veg,2834,330.66
Gracia,Snacks,Veg,1996,984.01
Alys,Lunch,Veg,511,818.52
Minette,Lunch,Veg,1380,201.6
Elyssa,Dinner,Non-Veg,798,550.71
Melinde,Breakfast,Veg,1377,743.94
Wileen,Breakfast,Veg,2673,498.85
Torrie,Breakfast,Veg,2083,372.4
Bertina,Snacks,Non-Veg,1229,444.57
Dalia,Snacks,Non-Veg,1821,988.05
Nicola,Lunch,Non-Veg,1081,813.52
Wendi,Dinner,Veg,2193,502.67
Phaidra,Lunch,Veg,1099,719.18
Daisy,Lunch,Non-Veg,2399,582.47
Adelina,Dinner,Veg,1755,666.78
Rosemarie,Dinner,Veg,2377,263.97
Letta,Dinner,Veg,2175,926.57
Diana,Lunch,Non-Veg,777,697.55
Christin,Dinner,Veg,2895,292.81
Jody,Snacks,Non-Veg,2234,939.56
Nert,Snacks,Non-Veg,1265,288.34
Genny,Breakfast,Non-Veg,788,700.27
Laura,Lunch,Veg,1196,367.34
Leandra,Breakfast,Veg,2574,908.58
Daisey,Dinner,Veg,2915,292.29
Chicky,Snacks,Veg,2041,900.88
Yasmeen,Lunch,Non-Veg,1892,612.54
Shoshana,Dinner,Veg,2299,515.43
Kellsie,Dinner,Non-Veg,2178,531.23
Allsun,Lunch,Non-Veg,2796,470.42
Penny,Lunch,Non-Veg,2833,996.13
Caroljean,Snacks,Non-Veg,1300,299.67
Louella,Snacks,Veg,907,521.72
Annelise,Breakfast,Non-Veg,2054,688.78
Essie,Dinner,Veg,836,665.37
Elaine,Dinner,Non-Veg,1795,933.61
Germaine,Breakfast,Non-Veg,598,812.21
Farah,Lunch,Non-Veg,2528,277.63
Stephine,Lunch,Veg,2712,778.37
Tiffanie,Snacks,Veg,580,492.64
Bernardine,Dinner,Veg,646,654.25
Kaitlin,Breakfast,Non-Veg,2104,592.88
Addie,Lunch,Veg,2239,506.19
Robinet,Dinner,Non-Veg,1089,817.42
Melanie,Dinner,Non-Veg,1220,246.85
Juditha,Breakfast,Non-Veg,2460,602.49
Marin,Lunch,Veg,1719,439.3
Lori,Lunch,Veg,653,871.86
Anet,Dinner,Non-Veg,2121,538.09
Peri,Breakfast,Non-Veg,2567,450.55
Reggi,Dinner,Veg,910,376.97
Denna,Lunch,Veg,525,374.43
Candida,Lunch,Non-Veg,2021,277.95
Meryl,Breakfast,Non-Veg,2869,860.98
Wanids,Snacks,Veg,2843,280.27
Tessy,Lunch,Veg,629,536.61
Gianna,Breakfast,Non-Veg,1751,418.04
Catrina,Lunch,Veg,1792,624.23
Willow,Dinner,Veg,907,458.63
Karin,Dinner,Non-Veg,1399,336.81
Row,Dinner,Veg,2619,837.3
Kirsteni,Snacks,Non-Veg,1021,961.0
Theodora,Lunch,Non-Veg,1383,760.92
Audy,Dinner,Non-Veg,1313,424.04
Horatia,Snacks,Veg,1703,610.16
Orelle,Dinner,Veg,616,531.06
Brina,Snacks,Veg,1075,816.6
Karissa,Dinner,Veg,1763,976.1
Viole,Lunch,Veg,2695,543.5
Harriette,Breakfast,Non-Veg,1895,952.05
Ursula,Snacks,Veg,2453,896.3
Fanchon,Breakfast,Non-Veg,2094,657.33
Rayshell,Lunch,Veg,3000,974.78
Harrietta,Lunch,Veg,1738,845.04
Rosemaria,Lunch,Veg,1872,548.63
Blinni,Snacks,Veg,1408,694.97
Laurianne,Snacks,Veg,1888,618.36
Carolynn,Dinner,Veg,1363,819.53
Kym,Dinner,Veg,1848,869.61
Hestia,Snacks,Veg,1576,470.79
Marty,Breakfast,Veg,2383,917.12
Jenn,Dinner,Non-Veg,577,544.21
Robinetta,Breakfast,Non-Veg,872,533.3
Florinda,Dinner,Non-Veg,1550,359.43
Waly,Lunch,Veg,2204,409.77
Joli,Lunch,Non-Veg,2503,792.31
Marrissa,Snacks,Non-Veg,1699,910.15
Gaby,Dinner,Non-Veg,934,341.77
Perle,Snacks,Veg,2681,791.85
Lianna,Snacks,Non-Veg,2551,495.18
Marielle,Snacks,Veg,1972,287.7
Nissie,Lunch,Non-Veg,2124,697.55
Peggi,Snacks,Veg,1573,857.08
Darice,Breakfast,Non-Veg,2668,341.42
Pansy,Snacks,Non-Veg,2276,957.53
Tarrah,Snacks,Veg,2859,507.35
Gusti,Dinner,Non-Veg,1817,820.08
Hermia,Breakfast,Non-Veg,2667,220.38
Becky,Dinner,Veg,1028,410.98
Melba,Dinner,Veg,1102,231.2
Janetta,Dinner,Veg,960,286.45
Kylila,Breakfast,Non-Veg,893,461.47
Shane,Lunch,Non-Veg,1377,753.8
Beckie,Snacks,Non-Veg,1629,224.86
Pearla,Dinner,Non-Veg,1750,826.35
Doralynne,Breakfast,Veg,1411,406.69
Judye,Breakfast,Veg,717,664.17
Alis,Dinner,Veg,1030,993.21
Berenice,Snacks,Non-Veg,2241,883.44
Cordey,Breakfast,Veg,1458,685.64
Tessie,Breakfast,Non-Veg,1722,901.44
Louisette,Snacks,Veg,2917,431.85
Jodee,Lunch,Non-Veg,1484,387.66
Pris,Snacks,Non-Veg,2856,232.35
Mufi,Lunch,Veg,2597,239.31
Nadean,Dinner,Veg,2757,454.3
Faunie,Lunch,Non-Veg,2385,828.11
Leanor,Snacks,Veg,1626,895.57
Madelina,Dinner,Veg,2034,910.37
Raphaela,Snacks,Non-Veg,1705,223.16
Charis,Lunch,Non-Veg,2538,722.94
Cynthie,Breakfast,Non-Veg,2422,625.91
Bertha,Breakfast,Non-Veg,1081,875.9
Junina,Lunch,Non-Veg,2939,786.52
Kameko,Lunch,Veg,1372,350.12
Noelle,Breakfast,Veg,2375,511.69
Darline,Breakfast,Non-Veg,1414,652.71
April,Snacks,Non-Veg,2417,488.57
Janice,Dinner,Non-Veg,2728,589.02
Leoline,Lunch,Veg,901,710.88
Wilhelmine,Snacks,Veg,2392,273.88
Meara,Dinner,Veg,2030,673.13
Milena,Breakfast,Non-Veg,1237,784.57
Monica,Snacks,Veg,1864,926.23
Agnes,Breakfast,Non-Veg,1686,941.27
Fleurette,Dinner,Non-Veg,856,737.06
Barbi,Dinner,Non-Veg,2682,358.42
Bobbe,Dinner,Non-Veg,517,427.83
Margarette,Breakfast,Veg,1544,829.86
Carmencita,Snacks,Non-Veg,616,740.63
Brigida,Snacks,Veg,1816,840.62
Blinni,Lunch,Veg,2926,810.06
Tiffany,Dinner,Non-Veg,1712,339.11
Mabel,Breakfast,Non-Veg,2604,243.58
Gilligan,Dinner,Veg,738,632.93
Rosalinde,Snacks,Non-Veg,1989,612.05
Lelah,Breakfast,Non-Veg,1102,629.09
Joelly,Lunch,Veg,911,293.57
Mariann,Snacks,Non-Veg,1777,909.08
Elvina,Lunch,Non-Veg,2176,520.75
Terri,Snacks,Non-Veg,2227,531.25
Leisha,Lunch,Veg,2422,710.73
Kaycee,Snacks,Veg,688,975.24
Rosene,Dinner,Non-Veg,1724,238.48
Guinna,Dinner,Veg,2162,804.42
Becca,Dinner,Veg,1739,254.07
Eva,Snacks,Non-Veg,1557,303.64
Jessy,Breakfast,Non-Veg,2624,422.92
Issi,Snacks,Veg,1799,664.64
Arleyne,Dinner,Non-Veg,2720,453.88
Umeko,Lunch,Veg,1784,715.39
Clo,Dinner,Non-Veg,2245,244.43
Marcelia,Snacks,Veg,1225,321.85
Carmelita,Dinner,Veg,1389,798.24
Petronia,Snacks,Non-Veg,2122,914.99
Bettye,Breakfast,Non-Veg,667,977.6
Jo-anne,Breakfast,Veg,1492,859.54
Wilmette,Dinner,Veg,1433,816.11
Amie,Breakfast,Veg,1131,347.53
Kacey,Breakfast,Non-Veg,643,487.92
Codi,Lunch,Veg,2337,305.16
Demetria,Lunch,Non-Veg,2411,522.78
Malissa,Lunch,Non-Veg,1933,424.72
Kris,Breakfast,Non-Veg,2686,636.79
Arlana,Breakfast,Veg,825,467.35
Fernanda,Dinner,Veg,1011,507.61
Shirleen,Dinner,Veg,2651,557.68
Harriot,Dinner,Veg,2478,576.32
Dagmar,Breakfast,Veg,2719,250.55
Karlee,Snacks,Non-Veg,774,523.0
Alaine,Lunch,Non-Veg,1120,651.91
Hazel,Breakfast,Non-Veg,2777,751.97
Rycca,Snacks,Veg,2423,551.45
Meg,Breakfast,Veg,1931,798.08
Rica,Breakfast,Veg,765,861.03
Fred,Snacks,Veg,1801,887.12
Fanya,Breakfast,Veg,1308,257.09
Nalani,Lunch,Veg,2477,920.8
Dareen,Breakfast,Non-Veg,2595,351.41
Britt,Lunch,Veg,2842,737.67
Pet,Lunch,Veg,2721,269.69
Mercedes,Snacks,Non-Veg,1612,853.65
Pepi,Dinner,Veg,924,348.48
Laverne,Lunch,Non-Veg,793,508.5
Jobina,Snacks,Non-Veg,2241,551.51
Tess,Lunch,Non-Veg,2255,295.84
Dolorita,Dinner,Non-Veg,941,636.13
Carlye,Dinner,Non-Veg,1965,998.27
